,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.807,https://api.spotify.com/v1/audio-analysis/6IW4TUC3zHW4tpikDg1w7Y,0.669,180800,0.552,6IW4TUC3zHW4tpikDg1w7Y,0.000874,0,0.321,-7.98,1,0.0587,100.102,4,https://api.spotify.com/v1/tracks/6IW4TUC3zHW4tpikDg1w7Y,audio_features,spotify:track:6IW4TUC3zHW4tpikDg1w7Y,0.488
0,0.0375,https://api.spotify.com/v1/audio-analysis/15npbUjCgwt2lRvyrJvyxw,0.757,207161,0.705,15npbUjCgwt2lRvyrJvyxw,5.8e-06,2,0.114,-5.084,1,0.0252,104.972,4,https://api.spotify.com/v1/tracks/15npbUjCgwt2lRvyrJvyxw,audio_features,spotify:track:15npbUjCgwt2lRvyrJvyxw,0.855
0,0.135,https://api.spotify.com/v1/audio-analysis/3bF0cfm6aZ7rQlZAyklEeb,0.643,162695,0.636,3bF0cfm6aZ7rQlZAyklEeb,0,0,0.114,-4.927,1,0.0288,89.991,4,https://api.spotify.com/v1/tracks/3bF0cfm6aZ7rQlZAyklEeb,audio_features,spotify:track:3bF0cfm6aZ7rQlZAyklEeb,0.777
0,0.619,https://api.spotify.com/v1/audio-analysis/0vzSAyinyA619ZbrOaAi04,0.59,162120,0.633,0vzSAyinyA619ZbrOaAi04,0,2,0.157,-5.452,1,0.0328,179.856,4,https://api.spotify.com/v1/tracks/0vzSAyinyA619ZbrOaAi04,audio_features,spotify:track:0vzSAyinyA619ZbrOaAi04,0.751
0,0.0197,https://api.spotify.com/v1/audio-analysis/5EDtmgwR1lDmDGLZraNpJg,0.487,221693,0.796,5EDtmgwR1lDmDGLZraNpJg,0.000192,7,0.327,-3.9,0,0.0339,76.037,4,https://api.spotify.com/v1/tracks/5EDtmgwR1lDmDGLZraNpJg,audio_features,spotify:track:5EDtmgwR1lDmDGLZraNpJg,0.44
0,0.27,https://api.spotify.com/v1/audio-analysis/3z610KBfuClGcA7ywI19w8,0.628,182080,0.675,3z610KBfuClGcA7ywI19w8,1.46e-06,0,0.133,-3.534,1,0.0598,130.159,4,https://api.spotify.com/v1/tracks/3z610KBfuClGcA7ywI19w8,audio_features,spotify:track:3z610KBfuClGcA7ywI19w8,0.655
0,0.139,https://api.spotify.com/v1/audio-analysis/2jt5TmTYrmdr46cGHrcFjq,0.556,201322,0.726,2jt5TmTYrmdr46cGHrcFjq,0,10,0.106,-5.054,1,0.0312,142.107,4,https://api.spotify.com/v1/tracks/2jt5TmTYrmdr46cGHrcFjq,audio_features,spotify:track:2jt5TmTYrmdr46cGHrcFjq,0.441
0,0.18,https://api.spotify.com/v1/audio-analysis/4GyD3o5hWoyCuYpdlzZlRL,0.593,254181,0.552,4GyD3o5hWoyCuYpdlzZlRL,1.71e-05,1,0.11,-5.838,1,0.028,115.0,4,https://api.spotify.com/v1/tracks/4GyD3o5hWoyCuYpdlzZlRL,audio_features,spotify:track:4GyD3o5hWoyCuYpdlzZlRL,0.39
0,0.00276,https://api.spotify.com/v1/audio-analysis/0BQpyaFrb78b9uobWNheqx,0.605,182930,0.786,0BQpyaFrb78b9uobWNheqx,0,4,0.347,-4.138,1,0.0379,116.995,4,https://api.spotify.com/v1/tracks/0BQpyaFrb78b9uobWNheqx,audio_features,spotify:track:0BQpyaFrb78b9uobWNheqx,0.512
0,0.271,https://api.spotify.com/v1/audio-analysis/6F7UOC6fPWOkPqybOWBHSv,0.575,195013,0.644,6F7UOC6fPWOkPqybOWBHSv,0,6,0.131,-5.68,0,0.0309,80.07,4,https://api.spotify.com/v1/tracks/6F7UOC6fPWOkPqybOWBHSv,audio_features,spotify:track:6F7UOC6fPWOkPqybOWBHSv,0.626
