,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.416,https://api.spotify.com/v1/audio-analysis/4ELXC8bDxfXOY6cwNEJIEl,0.408,348707,0.401,4ELXC8bDxfXOY6cwNEJIEl,0.0135,0,0.135,-8.351,1,0.0255,80.831,4,https://api.spotify.com/v1/tracks/4ELXC8bDxfXOY6cwNEJIEl,audio_features,spotify:track:4ELXC8bDxfXOY6cwNEJIEl,0.452
0,0.00261,https://api.spotify.com/v1/audio-analysis/3OAiJ8YdnNr2zus6CwT3y2,0.451,171227,0.947,3OAiJ8YdnNr2zus6CwT3y2,0.000312,6,0.286,-3.607,0,0.207,118.701,4,https://api.spotify.com/v1/tracks/3OAiJ8YdnNr2zus6CwT3y2,audio_features,spotify:track:3OAiJ8YdnNr2zus6CwT3y2,0.35
0,0.00252,https://api.spotify.com/v1/audio-analysis/2lYTIEA8KJQWysrhXDogcD,0.401,164645,0.591,2lYTIEA8KJQWysrhXDogcD,0.00278,2,0.313,-4.65,1,0.0299,82.133,4,https://api.spotify.com/v1/tracks/2lYTIEA8KJQWysrhXDogcD,audio_features,spotify:track:2lYTIEA8KJQWysrhXDogcD,0.691
0,0.235,https://api.spotify.com/v1/audio-analysis/1xmctspTzQxisNXKY6Gxf6,0.597,232530,0.915,1xmctspTzQxisNXKY6Gxf6,0.0865,10,0.106,-3.298,0,0.152,100.444,4,https://api.spotify.com/v1/tracks/1xmctspTzQxisNXKY6Gxf6,audio_features,spotify:track:1xmctspTzQxisNXKY6Gxf6,0.555
0,9.76e-06,https://api.spotify.com/v1/audio-analysis/7aPJPm0yFfRrTuBw05qVE3,0.276,228640,0.962,7aPJPm0yFfRrTuBw05qVE3,0.000366,11,0.0327,-3.797,0,0.0629,189.898,4,https://api.spotify.com/v1/tracks/7aPJPm0yFfRrTuBw05qVE3,audio_features,spotify:track:7aPJPm0yFfRrTuBw05qVE3,0.741
0,3.96e-05,https://api.spotify.com/v1/audio-analysis/1Be8ytAIubyZBVffoubQzj,0.284,212613,0.96,1Be8ytAIubyZBVffoubQzj,0.581,2,0.251,-4.934,1,0.256,138.925,4,https://api.spotify.com/v1/tracks/1Be8ytAIubyZBVffoubQzj,audio_features,spotify:track:1Be8ytAIubyZBVffoubQzj,0.288
0,0.00274,https://api.spotify.com/v1/audio-analysis/2i68J1wrgk5doxeDXAzbRh,0.584,165482,0.722,2i68J1wrgk5doxeDXAzbRh,0.0008,6,0.1,-6.818,0,0.0531,132.76,4,https://api.spotify.com/v1/tracks/2i68J1wrgk5doxeDXAzbRh,audio_features,spotify:track:2i68J1wrgk5doxeDXAzbRh,0.687
0,0.665,https://api.spotify.com/v1/audio-analysis/675pQka4krUCyb7zMX3M7y,0.438,250013,0.71,675pQka4krUCyb7zMX3M7y,0.00139,0,0.0995,-3.53,1,0.0939,105.159,4,https://api.spotify.com/v1/tracks/675pQka4krUCyb7zMX3M7y,audio_features,spotify:track:675pQka4krUCyb7zMX3M7y,0.725
0,0.000545,https://api.spotify.com/v1/audio-analysis/5Lfl6K7BM3h4kDuytUMXZQ,0.424,247760,0.971,5Lfl6K7BM3h4kDuytUMXZQ,0.0475,2,0.326,-4.027,1,0.0891,157.954,4,https://api.spotify.com/v1/tracks/5Lfl6K7BM3h4kDuytUMXZQ,audio_features,spotify:track:5Lfl6K7BM3h4kDuytUMXZQ,0.65
0,0.0444,https://api.spotify.com/v1/audio-analysis/3ZFaioRJSjrdH01nfBgbNB,0.444,200933,0.926,3ZFaioRJSjrdH01nfBgbNB,0.000715,4,0.547,-4.948,1,0.123,150.134,4,https://api.spotify.com/v1/tracks/3ZFaioRJSjrdH01nfBgbNB,audio_features,spotify:track:3ZFaioRJSjrdH01nfBgbNB,0.279
0,0.00024,https://api.spotify.com/v1/audio-analysis/45AbDqJVqVU7nOxtW4SUTG,0.411,201827,0.813,45AbDqJVqVU7nOxtW4SUTG,0,6,0.275,-3.419,0,0.0598,168.034,4,https://api.spotify.com/v1/tracks/45AbDqJVqVU7nOxtW4SUTG,audio_features,spotify:track:45AbDqJVqVU7nOxtW4SUTG,0.643
0,0.228,https://api.spotify.com/v1/audio-analysis/7rfsMduLxpnpfVs2PYZDPA,0.756,240773,0.804,7rfsMduLxpnpfVs2PYZDPA,0.124,9,0.103,-3.459,0,0.0333,128.039,4,https://api.spotify.com/v1/tracks/7rfsMduLxpnpfVs2PYZDPA,audio_features,spotify:track:7rfsMduLxpnpfVs2PYZDPA,0.884
0,0.00362,https://api.spotify.com/v1/audio-analysis/2IHxrbIAQB5sRZTGYvEd01,0.429,305345,0.873,2IHxrbIAQB5sRZTGYvEd01,0.299,5,0.111,-6.121,1,0.0539,79.529,4,https://api.spotify.com/v1/tracks/2IHxrbIAQB5sRZTGYvEd01,audio_features,spotify:track:2IHxrbIAQB5sRZTGYvEd01,0.439
0,0.0265,https://api.spotify.com/v1/audio-analysis/4lEnkalPpZEYgTzV5t9oJL,0.613,215480,0.754,4lEnkalPpZEYgTzV5t9oJL,0.0152,7,0.111,-8.462,1,0.197,142.961,4,https://api.spotify.com/v1/tracks/4lEnkalPpZEYgTzV5t9oJL,audio_features,spotify:track:4lEnkalPpZEYgTzV5t9oJL,0.63
0,0.000633,https://api.spotify.com/v1/audio-analysis/2bc22Mtzo62VAeFKA96KKD,0.563,154507,0.939,2bc22Mtzo62VAeFKA96KKD,0.00673,1,0.287,-7.322,1,0.061,112.48,1,https://api.spotify.com/v1/tracks/2bc22Mtzo62VAeFKA96KKD,audio_features,spotify:track:2bc22Mtzo62VAeFKA96KKD,0.587
0,0.000109,https://api.spotify.com/v1/audio-analysis/26NeDcBDtSOsdwYjGO9Mrl,0.511,202813,0.697,26NeDcBDtSOsdwYjGO9Mrl,0.000104,4,0.0677,-6.257,1,0.0278,79.994,4,https://api.spotify.com/v1/tracks/26NeDcBDtSOsdwYjGO9Mrl,audio_features,spotify:track:26NeDcBDtSOsdwYjGO9Mrl,0.832
0,0.00205,https://api.spotify.com/v1/audio-analysis/0j4FFgyRleA5IbWP4BmlIC,0.475,220324,0.94,0j4FFgyRleA5IbWP4BmlIC,0.195,1,0.122,-4.749,1,0.0573,96.382,4,https://api.spotify.com/v1/tracks/0j4FFgyRleA5IbWP4BmlIC,audio_features,spotify:track:0j4FFgyRleA5IbWP4BmlIC,0.448
0,3e-05,https://api.spotify.com/v1/audio-analysis/0fnYEb4IPNMlv46bZweUu8,0.352,211373,0.571,0fnYEb4IPNMlv46bZweUu8,0.00885,2,0.125,-3.801,0,0.0441,99.202,3,https://api.spotify.com/v1/tracks/0fnYEb4IPNMlv46bZweUu8,audio_features,spotify:track:0fnYEb4IPNMlv46bZweUu8,0.53
0,0.0422,https://api.spotify.com/v1/audio-analysis/5lpqOgHzc3UmcgULPKtoSD,0.502,210240,0.839,5lpqOgHzc3UmcgULPKtoSD,0.0167,4,0.0804,-5.589,1,0.0528,74.998,4,https://api.spotify.com/v1/tracks/5lpqOgHzc3UmcgULPKtoSD,audio_features,spotify:track:5lpqOgHzc3UmcgULPKtoSD,0.397
